dataset,encoder,c_fh,policy,threshold,fhr,coverage,expected_cost
qqp,all-mpnet-base-v2,20.0,cost-aware(c_fh=20),1.0,0.0,0.0008,0.9992
qqp,bge-base-en-v1.5,5.0,fixed@0.8,0.8,0.3885,0.5416,1.5104
qqp,bge-base-en-v1.5,5.0,fhr<= 0.05,0.985,0.125,0.0256,0.9904
qqp,bge-base-en-v1.5,5.0,cost-aware(c_fh=5),0.97,0.1429,0.0504,0.9856
qqp,bge-base-en-v1.5,20.0,fixed@0.8,0.8,0.3885,0.5416,4.6664
qqp,bge-base-en-v1.5,20.0,fhr<= 0.05,0.985,0.125,0.0256,1.0384
qqp,bge-base-en-v1.5,20.0,cost-aware(c_fh=20),0.99,0.0625,0.0128,1.0032
qqp,bge-large-en-v1.5,5.0,fixed@0.8,0.8,0.3797,0.5288,1.4752
qqp,bge-large-en-v1.5,5.0,fhr<= 0.05,0.985,0.0833,0.0288,0.9832
qqp,bge-large-en-v1.5,5.0,cost-aware(c_fh=5),0.945,0.1915,0.1128,0.9952
qqp,bge-large-en-v1.5,20.0,fixed@0.8,0.8,0.3797,0.5288,4.4872
qqp,bge-large-en-v1.5,20.0,fhr<= 0.05,0.985,0.0833,0.0288,1.0192
qqp,bge-large-en-v1.5,20.0,cost-aware(c_fh=20),0.99,0.0,0.0168,0.9832
qqp,e5-large-v2,5.0,fixed@0.8,0.8,0.5847,0.8976,2.7264
qqp,e5-large-v2,5.0,fhr<= 0.05,0.995,0.0435,0.0184,0.9856
qqp,e5-large-v2,5.0,cost-aware(c_fh=5),0.98,0.1553,0.0824,0.9816
qqp,e5-large-v2,20.0,fixed@0.8,0.8,0.5847,0.8976,10.5984
qqp,e5-large-v2,20.0,fhr<= 0.05,0.995,0.0435,0.0184,0.9976
qqp,e5-large-v2,20.0,cost-aware(c_fh=20),0.995,0.0435,0.0184,0.9976
qqp,e5-small-v2,5.0,fixed@0.8,0.8,0.6,0.932,2.864
qqp,e5-small-v2,5.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
qqp,e5-small-v2,5.0,cost-aware(c_fh=5),0.985,0.1829,0.0656,0.9944
qqp,e5-small-v2,20.0,fixed@0.8,0.8,0.6,0.932,11.252
qqp,e5-small-v2,20.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
qqp,e5-small-v2,20.0,cost-aware(c_fh=20),1.0,0.0,0.0008,0.9992
qqp,tfidf-lexical,5.0,fixed@0.8,0.8,0.5634,0.0568,1.1032
qqp,tfidf-lexical,5.0,fhr<= 0.05,1.0,0.6667,0.0024,1.0056
qqp,tfidf-lexical,5.0,cost-aware(c_fh=5),1.0,0.6667,0.0024,1.0056
qqp,tfidf-lexical,20.0,fixed@0.8,0.8,0.5634,0.0568,1.5832
qqp,tfidf-lexical,20.0,fhr<= 0.05,1.0,0.6667,0.0024,1.0296
qqp,tfidf-lexical,20.0,cost-aware(c_fh=20),1.0,0.6667,0.0024,1.0296
